NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.390	0.240	0.230	0.250	NaN	NaN	0.600	NaN	-0.030	0.570	0.050	-0.670	-0.600	NaN	NaN	NaN	NaN	NaN	-0.160	0.160	0.430	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.010	-0.030	0.160	-0.100	NaN	NaN	0.600	NaN	0.100	-0.580	-0.020	0.060	0.260	NaN	NaN	NaN	NaN	NaN	-0.200	-0.070	-0.550	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.420	-0.270	-0.210	-0.320	-0.010	NaN	0.100	NaN	-0.680	0.530	0.010	-1.180	-0.400	NaN	-0.220	NaN	NaN	NaN	-0.660	0.090	-0.560	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.270	-0.040	-0.090	-0.520	1.090	NaN	1.280	NaN	-0.250	-1.130	-0.160	-0.650	-0.570	NaN	-0.320	NaN	NaN	NaN	-0.070	-0.190	0.240	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.440	-0.240	-0.260	-0.360	-0.580	NaN	-0.490	-0.680	-0.600	0.510	0.050	-0.850	-0.480	NaN	-0.190	NaN	NaN	NaN	-0.660	0.050	-0.030	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.730	-0.480	-0.440	-0.930	0.080	NaN	0.540	0.280	-0.520	-0.710	-0.310	0.650	-0.800	NaN	-0.450	NaN	NaN	NaN	-0.490	0.080	0.250	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.520	-0.340	-0.330	-0.470	-0.600	-0.480	-0.460	-0.720	-0.750	0.510	0.110	-0.700	-0.010	NaN	-0.200	NaN	NaN	NaN	-0.620	0.050	-0.030	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.560	-0.580	-0.210	-0.470	-0.400	-0.240	0.050	-0.350	-0.210	-1.040	-0.240	0.090	-0.210	NaN	-0.680	NaN	NaN	NaN	-0.560	-0.020	0.330	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.130	-0.390	-0.490	-0.230	-0.630	-1.130	-0.580	-0.560	-0.780	-0.650	0.470	-0.040	-0.600	0.000	NaN	-0.210	-0.400	-0.620	-0.730	-0.320	0.050	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.250	0.570	0.750	-0.140	-0.430	0.700	-0.660	-0.010	-0.530	0.200	-0.820	-0.220	-0.270	-0.340	NaN	-0.610	-0.350	0.090	-0.060	0.150	-0.350	-0.120	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.210	-0.690	-0.460	-0.350	-0.670	-0.880	-0.620	-0.590	-0.820	-0.540	0.500	0.070	-0.680	-0.040	NaN	-0.280	-0.470	-0.840	-0.850	-0.240	0.030	-0.030	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.570	-0.630	-0.510	-0.190	-0.030	-0.500	-0.550	0.420	-0.070	-0.330	-0.960	-0.450	0.250	-0.380	NaN	-0.360	-0.760	-0.430	-0.360	-0.190	-0.260	-0.150	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.350	-0.710	-0.530	-0.150	0.020	-0.260	-0.650	-0.790	-1.040	-0.290	0.540	0.050	-0.540	0.020	0.060	-0.120	-0.490	-0.960	-0.940	-0.390	0.040	-0.050	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.540	0.140	0.310	0.520	0.320	0.580	-0.140	0.650	-0.240	-0.060	-0.480	0.170	0.460	0.040	0.220	-0.170	-0.530	-0.320	-0.340	-0.280	0.070	0.350	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.390	-0.030	-0.050	-0.240	0.220	-0.260	-0.620	-0.860	-1.070	-0.250	0.510	0.050	-0.680	0.070	0.070	-0.160	-1.280	-1.300	-0.910	-0.650	0.040	-0.140	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.390	-0.230	0.320	0.490	0.150	0.370	1.180	0.480	-0.050	-0.130	-0.360	-0.210	-0.010	-0.090	0.240	-0.340	1.300	1.110	-0.220	-0.120	-0.060	0.320	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.050	-0.010	0.000	-0.240	0.410	-0.200	-0.740	-0.850	-0.260	-0.250	0.570	0.040	-0.700	-0.070	-0.030	-0.170	-0.500	-0.690	-0.910	-0.930	0.190	-0.280	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.650	-0.290	-0.090	0.930	0.150	0.270	-0.090	0.370	0.040	-0.130	-0.750	-0.190	0.110	0.360	-0.150	-0.250	-0.450	0.970	1.120	1.340	-0.260	-0.070	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.520	-0.020	0.050	-0.130	0.310	-0.080	-0.760	-0.840	-0.330	-0.180	0.530	0.030	-0.540	0.170	0.040	-0.190	-0.490	-0.810	-0.760	-0.560	-0.360	-0.280	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.600	-0.190	0.230	0.490	0.060	0.380	-0.320	0.720	-0.330	-0.270	-0.630	0.010	0.120	0.240	-0.220	-0.110	-0.380	-0.140	-0.190	-0.160	-0.120	0.020	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
